Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
11;29;268;Wetter;Für welche Windstärken wird eine Sturmwarnung herausgegeben?;;Windstärke 7 und mehr der Beaufortskala.;Windstärke 6 und mehr der Beaufortskala.;Windstärke 8 und mehr der Beaufortskala.;Windstärke 9 und mehr der Beaufortskala.;C;Windstärke 8 und mehr der Beaufortskala.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/11
11;30;283;Signale;Was bedeutet eine Leuchtrakete mit einem roten Stern?;;Aufforderung zur Kursänderung.;Schießübung.;Aufforderung zum Aufstoppen.;Seenotfall.;D;Seenotfall.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/11
12;1;2;Vorschriften & Gesetze;In welchen Fällen darf weder ein Sportboot geführt noch dessen Kurs oder Geschwindigkeit selbstständig bestimmt werden?;;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,3 ‰ oder mehr im Körper vorhanden ist.;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 1,0 ‰ oder mehr im Körper vorhanden ist.;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,8 ‰ oder mehr im Körper vorhanden ist.;B;Wenn man infolge körperlicher oder geistiger Mängel oder infolge des Genusses alkoholischer Getränke oder anderer berauschender Mittel in der sicheren Führung behindert ist oder wenn eine Blutalkoholkonzentration von 0,5 ‰ oder mehr im Körper vorhanden ist.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;2;12;Lichterführung & Signalkörper;Was für eine Laterne kann ein Segelfahrzeug von weniger als 20 m Länge anstelle der Seitenlichter und des Hecklichtes führen?;;Eine Dreifarbenlaterne an oder nahe der Mastspitze.;Eine Dreifarbenlaterne an gut sichtbarer Stelle.;Eine Zweifarbenlaterne an gut sichtbarer Stelle.;Eine Zweifarbenlaterne an oder nahe der Mastspitze.;A;Eine Dreifarbenlaterne an oder nahe der Mastspitze.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;3;29;Schifffahrtszeichen;Welche Bedeutung haben folgende Schifffahrtszeichen?;;Brücke, Sperrwerk oder Schleuse geschlossen.;Stoppsignal für alle Fahrzeuge.;Anlage dauerhaft gesperrt.;Außergewöhnliche Schifffahrtsbehinderung.;C;Anlage dauerhaft gesperrt.;bilder/basisfragen_Gebotszeichen-A19d-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Gebotszeichen-A19d-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;4;36;Sicherheit;Wie verhält man sich beim Begegnen mit anderen Fahrzeugen in einem engen Fahrwasser?;;Das gegen den Strom fahrende Fahrzeug ist ausweichpflichtig.;Das mit dem Strom fahrende Fahrzeug hat aufzustoppen.;Geschwindigkeit herabsetzen und ausreichenden Passierabstand halten.;Geschwindigkeit erhöhen, um das Begegnungsmanöver zügig durchzuführen.;C;Geschwindigkeit herabsetzen und ausreichenden Passierabstand halten.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;5;44;Grundlagen;Was ist unter einem rechtsdrehenden Propeller zu verstehen?;;Von vorne gesehen in Rückwärtsfahrt Drehung des Propellers gegen den Uhrzeigersinn.;Von achtern gesehen in Vorausfahrt Drehung des Propellers im Uhrzeigersinn.;Von vorne gesehen in Vorausfahrt Drehung des Propellers im Uhrzeigersinn.;Von achtern gesehen in Vorausfahrt Drehung des Propellers gegen den Uhrzeigersinn.;B;Von achtern gesehen in Vorausfahrt Drehung des Propellers im Uhrzeigersinn.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;6;52;Grundlagen;Während der Fahrt sollte die Maschinenanlage ständig überwacht werden. Worauf muss besonders geachtet werden?;;Druck der Einspritzpumpe, Impellerpumpe, Ölpumpe.;Motortemperatur, Öldruck, Ladekontrolle.;Schraubendrehzahl, Getriebeöltemperatur, Öldruck.;Kühlwasseraustritt, Drehzahlmesser, Keilriemenspannung.;B;Motortemperatur, Öldruck, Ladekontrolle.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;7;72;Vorschriften & Gesetze;In welcher Situation dürfen Notsignale gegeben werden?;;Wenn Gefahr für Leib oder Leben von Personen oder erhebliche Sachwerte besteht und daher Hilfe benötigt wird.;Wenn Gefahr für Leib oder Leben von Personen besteht und daher Hilfe benötigt wird.;Wenn Gefahr für Leib oder Leben von Personen besteht oder das Schiff nicht mehr sicher manövriert werden kann.;Wenn Gefahr für Leib oder Leben von Personen, erhebliche Sachwerte oder die maritime Umwelt besteht.;B;Wenn Gefahr für Leib oder Leben von Personen besteht und daher Hilfe benötigt wird.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;8;84;Vorschriften & Gesetze;Welche besonderen Maßnahmen sind bei verminderter Sicht zu treffen?;;Es muss mit verminderter Geschwindigkeit gefahren werden, es müssen Schallsignale gegeben werden, es müssen Positionslichter eingeschaltet werden und es muss das AIS (Automatic Identifikation System) eingeschaltet werden.;Es muss mit sicherer, den verminderten Sichtverhältnissen angepasster Geschwindigkeit gefahren werden, es müssen Schallsignale gegeben werden, es müssen Positionslichter eingeschaltet werden und es muss gehörig Ausguck gegangen werden.;Es muss mit sicherer, den verminderten Sichtverhältnissen angepasster Geschwindigkeit gefahren werden, es müssen Schallsignale gegeben werden, es müssen Positionslichter eingeschaltet werden und es muss der Radarreflektor eingesetzt werden.;Es muss mit sicherer, den verminderten Sichtverhältnissen angepasster Geschwindigkeit gefahren werden, es müssen Schallsignale gegeben werden, das Radargerät muss eingeschaltet werden und es muss Ausguck gegangen werden.;B;Es muss mit sicherer, den verminderten Sichtverhältnissen angepasster Geschwindigkeit gefahren werden, es müssen Schallsignale gegeben werden, es müssen Positionslichter eingeschaltet werden und es muss gehörig Ausguck gegangen werden.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;9;87;Vorschriften & Gesetze;"Was sind ""Verkehrstrennungsgebiete""?";;Es sind bekannt gemachte Schifffahrtswege, die durch Trennlinien oder Trennzonen in Einbahnwege geteilt sind.;Es sind bekannt gemachte Seeschifffahrtsstraßen, die durch Trennlinien oder Trennzonen in Einbahnwege geteilt sind.;Es sind bekannt gemachte Bundeswasserstraßen, die durch Trennlinien oder Trennzonen in Einbahnwege geteilt sind.;Es sind bekannt gemachte Fahrwasser, die durch Trennlinien oder Trennzonen in Einbahnwege geteilt sind.;A;Es sind bekannt gemachte Schifffahrtswege, die durch Trennlinien oder Trennzonen in Einbahnwege geteilt sind.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;10;99;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Signalkörper?;;Ein Grundsitzer von 50 und mehr Meter Länge.;Ein fischendes Fahrzeug in Fahrt.;Ein manövrierunfähiges Fahrzeug.;Ein manövrierbehindertes Fahrzeug in Fahrt.;C;Ein manövrierunfähiges Fahrzeug.;bilder/spezifische_fragen_see_Signalkoerper-Frage-99-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Signalkoerper-Frage-99-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;11;108;Lichterführung & Signalkörper;Welches Fahrzeug muss diese Lichter führen?;;Ein tiefgangbehindertes Fahrzeug von 50 und mehr Meter Länge in Fahrt.;Ein manövrierbehindertes Fahrzeug.;Ein manövrierunfähiges Fahrzeug.;Ein Grundsitzer von weniger als 50 m Länge.;A;Ein tiefgangbehindertes Fahrzeug von 50 und mehr Meter Länge in Fahrt.;bilder/spezifische_fragen_see_Lichter-Frage-108-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-108-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;12;120;Signale;Was für ein Schallsignal muss ein Segelfahrzeug in Fahrt von 12 und mehr Meter Länge bei verminderter Sicht geben?;;Mindestens alle zwei Minuten drei aufeinander folgende Töne mit der Pfeife, und zwar lang, lang, kurz;Mit der Pfeife kurz, lang, kurz;Mindestens alle zwei Minuten drei aufeinander folgende Töne mit der Pfeife, und zwar lang, kurz, kurz;Mindestens alle zwei Minuten ein kräftiges Schallsignal, das mit den vorgeschriebenen nicht verwechselt werden kann.;C;Mindestens alle zwei Minuten drei aufeinander folgende Töne mit der Pfeife, und zwar lang, kurz, kurz;"bilder/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;bilder/spezifische_fragen_see_Schallsignal-Frage-164-gif.png;bilder/spezifische_fragen_see_Schallsignal-d-Frage-120-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-164-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-d-Frage-120-gif.png";"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;13;133;Lichterführung & Signalkörper;Wie muss man sich gegenüber diesem Fahrzeug verhalten?;;Sog und Wellenschlag vermeiden.;Die sichere Durchfahrt des Fahrzeugs darf nicht behindert werden.;Kurs und Geschwindigkeit beibehalten.;Das Fahrzeug muss an Steuerbord passiert werden.;B;Die sichere Durchfahrt des Fahrzeugs darf nicht behindert werden.;bilder/spezifische_fragen_see_Fahrzeug-Frage-133-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Fahrzeug-Frage-133-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;14;137;Verkehrsvorschriften;Wie hat sich ein überholendes Fahrzeug zu verhalten?;;Es hat dem zu überholenden Fahrzeug auszuweichen.;Es muss vor dem Überholen ein Schallsignal abgeben, um die Zustimmung des zu überholenden Fahrzeugs einzuholen.;Es muss den größtmöglichen Abstand zum überholten Fahrzeug einhalten und Sog und Wellenschlag vermeiden.;Es darf die sichere Durchfahrt des zu überholenden Fahrzeugs nicht behindern.;A;Es hat dem zu überholenden Fahrzeug auszuweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;15;149;Lichterführung & Signalkörper;Was ist das für ein Fahrzeug und was ist zu beachten?;;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt nicht behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung rechts liegt.;Ein manövrierunfähiges Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung rechts liegt.;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es darf an beiden Seiten passiert werden.;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung links liegt.;A;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt nicht behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung rechts liegt.;bilder/spezifische_fragen_see_Fahrzeug-Frage-149-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Fahrzeug-Frage-149-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;16;162;Signale;Welche Bedeutung hat folgendes Schallsignal:;;Brücke/Schleuse kann vorübergehend nicht geöffnet werden.;"Allgemeines ""Gefahr- und Warnsignal"".";Sperrung der Seeschifffahrtsstraße.;Sofort anhalten (Fahrzeug des öffentlichen Dienstes).;B;"Allgemeines ""Gefahr- und Warnsignal"".";bilder/spezifische_fragen_see_Schallsignal-Frage-162-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-162-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;17;165;Verkehrsvorschriften;Wie haben sich Fahrzeuge zu verhalten, die in ein Fahrwasser einlaufen, ein Fahrwasser queren, im Fahrwasser drehen oder ihre Anker- und Liegeplätze verlassen?;;Sie haben die Vorfahrt vor den Fahrzeugen im Fahrwasser.;Sie haben ihr Manöver so durchzuführen, dass andere Fahrzeuge nicht behindert werden.;Sie haben einen kurzen Ton als Achtungssignal abzugeben.;Sie haben die Vorfahrt der dem Fahrwasserverlauf folgenden Fahrzeuge zu beachten.;D;Sie haben die Vorfahrt der dem Fahrwasserverlauf folgenden Fahrzeuge zu beachten.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;18;170;Vorschriften & Gesetze;Wie haben sich Führer von Zugbooten der Wasserskiläufer bzw. Wassermotorradfahrer und Segelsurfer bei der Annäherung an andere Fahrzeuge zu verhalten?;;Sie haben Vorfahrt und müssen vor dem Bug des anderen Fahrzeugs kreuzen.;Sie haben bei Annäherung an andere Fahrzeuge aufzustoppen und Sog und Wellenschlag zu vermeiden.;Sie müssen Kurs und Geschwindigkeit beibehalten.;Sie haben auszuweichen.;D;Sie haben auszuweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;19;176;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Mindestabstand in Metern, der in der nachfolgenden Strecke vom Aufstellungsort der Tafel an eingehalten werden muss.;Die Geschwindigkeit durch das Wasser in sm/h (Knoten) auf dem Nord-Ostsee-Kanal (NOK) über Grund in sm/h, die nicht überschritten werden darf.;Mindestabstand zu anderen Fahrzeugen in Metern, der im bekanntgemachten Streckenabschnitt nicht unterschritten werden darf.;Die Geschwindigkeit durch das Wasser in km/h, auf dem Nord-Ostsee-Kanal (NOK) über Grund in km/h, die nicht überschritten werden darf.;D;Die Geschwindigkeit durch das Wasser in km/h, auf dem Nord-Ostsee-Kanal (NOK) über Grund in km/h, die nicht überschritten werden darf.;bilder/spezifische_fragen_see_Gebotszeichen-B06-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-B06-gif.png;"Spezifische Fragen See;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;20;188;Signale;Welche Bedeutung hat folgendes Schallsignal?;;Ein Ankerlieger bei schlechter Sicht, vorsichtig weiter navigieren.;Sperrung der Seeschifffahrtsstraße, Weiterfahrt verboten.;Fahrzeug des öffentlichen Dienstes, anhalten.;Einfahrt in Schleuse oder Anlage gesperrt, auf Freigabe warten.;B;Sperrung der Seeschifffahrtsstraße, Weiterfahrt verboten.;bilder/spezifische_fragen_see_Schallsignal-Frage-188-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-188-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;21;192;Schifffahrtszeichen;Welche Bedeutung hat folgendes Schifffahrtszeichen?;;Die Mitte eines Wattfahrwassers.;Die Steuerbordseite des Fahrwassers.;Die Backbordseite des Fahrwassers.;Die Kennzeichnung eines Hindernisses im Wattfahrwasser.;C;Die Backbordseite des Fahrwassers.;bilder/spezifische_fragen_see_Schifffahrtszeichen-Frage-192-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schifffahrtszeichen-Frage-192-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;22;199;Schifffahrtszeichen;Welche Kennung und Farbe haben die Feuer der Leuchttonnen an der Backbordseite des Fahrwassers?;;Rotes Blitzfeuer, Funkelfeuer oder Festfeuer.;Rotes Blitzfeuer, Funkelfeuer oder schnelles Funkelfeuer.;Rotes Blitzfeuer, Funkelfeuer oder Blinkfeuer.;Rotes Blitzfeuer, Funkelfeuer oder unterbrochenes Feuer in Gruppen.;D;Rotes Blitzfeuer, Funkelfeuer oder unterbrochenes Feuer in Gruppen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;23;205;Schifffahrtszeichen;Welche Bedeutung hat das Feuer einer Leuchttonne mit folgender Kennung?;;Kennzeichnung einer allgemeinen Gefahrenstelle, die westlich zu passieren ist.;Kennzeichnung einer allgemeinen Gefahrenstelle, die östlich zu passieren ist.;Kennzeichnung einer allgemeinen Gefahrenstelle, die südlich zu passieren ist.;Kennzeichnung einer allgemeinen Gefahrenstelle, die nördlich zu passieren ist.;B;Kennzeichnung einer allgemeinen Gefahrenstelle, die östlich zu passieren ist.;bilder/spezifische_fragen_see_Feuer-Frage-205-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Feuer-Frage-205-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;24;219;Umwelt- & Naturschutz;"Welcher Abstand sollte gemäß den ""10 Goldenen Regeln"" für das Verhalten von Wassersportlern mindestens zu Liegeplätzen von Seehunden und zu Vogelansammlungen eingehalten werden?";;100 m bis 300 m.;150 m bis 200 m.;200 m bis 300 m.;300 m bis 500 m.;D;300 m bis 500 m.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;25;232;Vorschriften & Gesetze;Welche Angaben enthalten die Nachrichten für Seefahrer (NfS) und die Bekanntmachungen für Seefahrer (BfS)?;;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks sowie die aktuellen Wasserstände.;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere die Schifffahrt betreffende Maßnahmen und Ereignisse.;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere die Schifffahrt betreffende meteorologische Hinweise.;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere Änderungen der Seeschifffahrtsstraßen-Ordnung.;B;Sie enthalten alle Veränderungen hinsichtlich Betonnung, Befeuerung, Wracks, Untiefen sowie andere die Schifffahrt betreffende Maßnahmen und Ereignisse.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;26;245;Navigation;Was versteht man unter Stromversetzung?;;Die Versetzung des Schiffes über Grund in Richtung und Distanz.;Die Richtung und Stärke der Meeresströmung.;Die Versetzung des Schiffes durch das Wasser in Richtung und Distanz.;Die Versetzung des Schiffes vom Magnetkompasskurs.;A;Die Versetzung des Schiffes über Grund in Richtung und Distanz.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;27;250;Wetter;Was versteht man unter Flut?;;Den Zeitraum vom Niedrigwasser zum folgenden Hochwasser.;Die Differenz zwischen Hoch- und Niedrigwasser.;Der höchste Wasserstand einer Tide.;Das Steigen des Wassers vom Niedrigwasser zum folgenden Hochwasser.;D;Das Steigen des Wassers vom Niedrigwasser zum folgenden Hochwasser.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;28;258;Sicherheit;Womit kann ein steuerunfähiges Sportboot mit dem Bug in den Wind gehalten werden?;;Mit vorn und achtern ausgebrachten Treibankern oder anderen geeigneten schwimmfähigen Gegenständen.;Mit dem Treibanker oder anderen geeigneten schwimmfähigen Gegenständen.;Durch wiederholtes kurzes Ein- und Auskuppeln der Antriebsmaschine.;Mit achteraus ausgebrachtem Treibanker oder ähnlichen schwimmfähigen Gegenständen.;B;Mit dem Treibanker oder anderen geeigneten schwimmfähigen Gegenständen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;29;262;Wetter;Wie werden Orte gleichen Luftdrucks in der Wetterkarte dargestellt und in welcher Maßeinheit wird der Luftdruck angegeben?;;Durch Isobaren und in Hektopascal.;Durch Isobaren und in Millipascal.;Durch Isoklinen und in Hektopascal.;Durch Isoklinen und in Dezipascal.;A;Durch Isobaren und in Hektopascal.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
12;30;285;Signale;Was bedeutet auf einem Schiff eines der folgenden Signale?;;Fahrzeug mit gefährlichen Gütern.;Fahrzeug ist manövrierbehindert.;Fahrzeug in Seenot.;Fahrzeug vor Anker mit mehr als 100 m Länge.;C;Fahrzeug in Seenot.;bilder/spezifische_fragen_see_Signal-Frage-285-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Signal-Frage-285-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/12
13;1;11;Lichterführung & Signalkörper;Wozu dient die Lichterführung?;;Sie zeigt Kurs und Geschwindigkeit eines Fahrzeugs an.;Sie zeigt Fahrtrichtung und Lage eines Fahrzeugs an.;Sie zeigt Fahrtrichtung und Position eines Fahrzeugs an.;Sie zeigt Fahrtrichtung und Kurs eines Fahrzeugs an.;B;Sie zeigt Fahrtrichtung und Lage eines Fahrzeugs an.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;2;16;Signale;Welche Bedeutung hat folgendes Schallsignal:;;Ankerlieger über 100 m Länge.;Bleib-weg-Signal, Gefahrenbereich sofort verlassen.;Manövrierbehinderter Schleppverband über 200 m Länge.;Allgemeines Gefahr- und Warnsignal.;B;Bleib-weg-Signal, Gefahrenbereich sofort verlassen.;bilder/basisfragen_Schallzeichen-Frage-16-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Schallzeichen-Frage-16-gif.png;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;3;22;Schifffahrtszeichen;Welche Bedeutung hat folgendes Tafelzeichen?;;Ankern verboten für Kleinfahrzeuge ab 12 m Länge.;Ankern verboten für alle Fahrzeuge.;Ankern und Festmachen verboten.;Ankern verboten für Kleinfahrzeuge unter 12 m Länge.;B;Ankern verboten für alle Fahrzeuge.;bilder/basisfragen_Verbotszeichen-A06-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/basisfragen_Verbotszeichen-A06-gif.png;"Basisfragen;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;4;34;Sicherheit;Warum soll ein kleines Fahrzeug nicht dicht an ein großes in Fahrt befindliches Fahrzeug heranfahren?;;Es kann durch dessen Bug- oder Heckwelle Seeschlag erleiden.;Da es dem großen in Fahrt befindlichen Fahrzeug sonst nicht ausweichen kann.;Es kann durch dessen Bug- oder Heckwelle kentern oder durch den Sog mit dem Fahrzeug kollidieren.;Dichtes Heranfahren ist ein Verstoß gegen die Grundregeln für das Verhalten im Verkehr.;C;Es kann durch dessen Bug- oder Heckwelle kentern oder durch den Sog mit dem Fahrzeug kollidieren.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;5;46;Grundlagen;Was ist unter der indirekten Ruderwirkung (Radeffekt) des Propellers zu verstehen?;;Das Versetzen nach vorne.;Das seitliche Versetzen des Bugs.;Das seitliche Versetzen des Hecks.;Das Versetzen nach hinten.;C;Das seitliche Versetzen des Hecks.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;6;56;Grundlagen;Der Motor ist gestartet worden. Was kann die Ursache sein, wenn nach dem Einkuppeln der Antriebswelle der Motor stehenbleibt?;;Verschmutzter Ölfilter.;Verschmutzter Luftfilter.;Blockierte Kraftstoffzufuhr.;Blockierter Propeller.;D;Blockierter Propeller.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
13;7;65;Sicherheit;Was ist vor Inbetriebnahme einer Flüssiggasanlage zu prüfen?;;Die Abnahme der Anlage darf nicht länger als drei Jahre zurückliegen. Haupthahn und andere Absperrventile sind zu öffnen.;Die Anlage muss abgenommen sein, die Inbetriebnahme darf nur durch eine besonders geprüfte Person erfolgen.;Die Anlage muss abgenommen sein, Leitungen und Anschlüsse müssen dicht sein. Haupthahn und andere Absperrventile sind zu öffnen.;Die Anlage muss abgenommen sein und jährlich überprüft werden. Die Inbetriebnahme darf nur durch eine besonders geprüfte Person erfolgen.;C;Die Anlage muss abgenommen sein, Leitungen und Anschlüsse müssen dicht sein. Haupthahn und andere Absperrventile sind zu öffnen.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/13
